Date,Calib.Date,Time,Sample.ID,Treatment,Temperature,pH.MV,Salinity,Period1,Notes
20180627,20180627,11:00,T2,na,14.8,-40.7,28.92,,prep for next spawn
20180627,20180627,11:00,T3,na,14.8,-40.9,29.06,,prep for next spawn
20180627,20180627,11:00,T4,na,14.8,-41.6,290.8,,prep for next spawn
20180627,20180627,11:00,T5,na,14.8,-41.2,29.09,,prep for next spawn
20180627,20180627,11:00,T6,Ambient,15,-42.3,29.11,,"pH low, settled larvae in ambient"
20180627,20180627,11:00,T7,Ambient,15.1,-42,29.1,,"control, settled larvae in ambient"
20180627,20180627,11:00,T9,Ambient,15.2,-42.2,29.17,,"control, settled larvae  in ambient"
20180628,20180628,18:00,T2,Control,15.1,-27.1,29.06,,prep for next spawn
20180628,20180628,18:00,T3,Low,15,-8.1,29.11,,prep for next spawn
20180628,20180628,18:00,T4,Control,15.1,-40.8,29.11,,prep for next spawn
20180628,20180628,18:00,T5,Low,15.1,-13.7,29.12,,prep for next spawn
20180628,20180628,18:00,T6,Ambient,15.7,-40.6,29.17,,"pH low, settled larvae in ambient"
20180628,20180628,18:00,T7,Ambient,15.7,-40.1,29.16,,"control, settled larvae in ambient"
20180628,20180628,18:00,T9,Ambient,16,-42.2,29.15,,"control, settled larvae  in ambient"
20180629,20180629,11:45,T2,Control,15,-41.9,28.9,,
20180629,20180629,11:45,T3,Low,15,-9.6,29,,"turned off Apex control after TA samples, spawn unsuccessful "
20180629,20180629,11:45,T4,Control,15.1,-44,29.04,,
20180629,20180629,11:45,T5,Low,15.2,-15,29.06,,"turned off Apex control after TA samples, spawn unsuccessful "
20180629,20180629,11:45,T6,Ambient,15.4,-41.2,29.05,,"pH low, settled larvae in ambient"
20180629,20180629,11:45,T7,Ambient,15.5,-33.9,29.06,,"control, settled larvae in ambient"
20180629,20180629,11:45,T9,Ambient,15.3,-44.1,29.05,,"control, settled larvae  in ambient"
20180630,20180630,16:22,T2,na,15,-40.8,29.02,,
20180630,20180630,16:22,T3,na,15,-40.7,29.05,,
20180630,20180630,16:22,T4,na,15,-41.4,29.09,,
20180630,20180630,16:22,T5,na,15.1,-39.5,29.14,,
20180630,20180630,16:22,T6,Ambient,14.9,-42.3,29.22,,"pH low, settled larvae in ambient"
20180630,20180630,16:22,T7,Ambient,15,-42.4,29.23,,"control, settled larvae in ambient"
20180630,20180630,16:22,T9,Ambient,15,-41.4,29.26,,"control, settled larvae  in ambient"
20180701,20180701,12:08,T2,na,14.6,-36.9,29.1,,"calibrated mettler toledo 4,7,10 20180701"
20180701,20180701,12:08,T3,na,14.5,-38,29.28,,
20180701,20180701,12:08,T4,na,14.5,-37.3,29.32,,
20180701,20180701,12:08,T5,na,14.5,-37.4,29.33,,
20180701,20180701,12:08,T6,Ambient,14.5,-38.3,29.33,,"pH low, settled larvae in ambient"
20180701,20180701,12:08,T7,Ambient,14.6,-39.2,29.37,,"control, settled larvae in ambient"
20180701,20180701,12:08,T9,Ambient,14.8,-38.7,29.35,,"control, settled larvae  in ambient"
20180702,20180702,10:40,T2,na,14.7,-35,29.17,,
20180702,20180702,10:40,T3,na,14.7,-38.7,29.32,,
20180702,20180702,10:40,T4,na,14.7,-37.8,29.37,,
20180702,20180702,10:40,T5,na,14.7,-37.8,29.39,,
20180702,20180702,10:40,T6,Ambient,15,-41.3,29.46,,"pH low, settled larvae in ambient"
20180702,20180702,10:40,T7,Ambient,15,-41.5,29.45,,"control, settled larvae in ambient"
20180702,20180702,10:40,T9,Ambient,14.9,-38.7,29.43,,"control, settled larvae  in ambient"
20180703,20180703,11:15,H0,Low,14.5,-12.7,29.3,,test for heath tray experiment
20180703,20180703,11:15,H1,Control,14.5,-39.3,29.37,,test for heath tray experiment
20180703,20180703,11:15,H2,Control,14.5,-38.9,29.38,,test for heath tray experiment
20180703,20180703,11:15,H3,Low,14.5,-17.9,29.38,,test for heath tray experiment
20180703,20180703,11:15,T0,Low,14.5,-12.4, ,,test for heath tray experiment
20180703,20180703,11:15,T1,Control,14.5,-38.8,29.39,,test for heath tray experiment
20180703,20180703,11:15,T2,Control,14.5,-38.7,29.39,,test for heath tray experiment
20180703,20180703,11:15,T3,Low,14.5,-16.9,29.42,,test for heath tray experiment
20180703,20180703,11:15,T6,Ambient,14.9,-39.5,29.45,,"pH low, settled larvae in ambient"
20180703,20180703,11:15,T7,Ambient,14.9,-39.9,29.45,,"control, settled larvae in ambient"
20180703,20180703,11:15,T9,Ambient,14.9,-38.6,29.43,,"control, settled larvae  in ambient"
20180704,20180704,10:08,H0,Low,14.7,-13.3,29.07,,test for heath tray experiment
20180704,20180704,10:08,H1,Control,14.6,-42.3,29.33,,test for heath tray experiment
20180704,20180704,10:08,H2,Control,14.7,-42.5,29.3,,test for heath tray experiment
20180704,20180704,10:08,H3,Low,14.7,-18.5,29.32,,test for heath tray experiment
20180704,20180704,10:08,T0,Low,14.6,-13.4,29.28,,test for heath tray experiment
20180704,20180704,10:08,T1,Control,14.7,-42.8,29.33,,test for heath tray experiment
20180704,20180704,10:08,T2,Control,14.6,-42.3,29.3,,test for heath tray experiment
20180704,20180704,10:08,T3,Low,14.6,-17.8,29.31,,test for heath tray experiment
20180704,20180704,10:08,T6,Ambient,14.9,-42.2,29.37,,"pH low, settled larvae in ambient"
20180704,20180704,10:08,T7,Ambient,14.9,-41.9,29.3,,"control, settled larvae in ambient"
20180704,20180704,10:08,T9,Ambient,15,-41.7,29.31,,"control, settled larvae  in ambient"
20180706,20180706,9:07,H0,Low,15.2,-13.3,28.66,,test for heath tray experiment
20180706,20180706,9:07,H1_B,Ambient,15.2,-44,29.21,,test for heath tray experiment
20180706,20180706,9:07,H1_T,Ambient,15.1,-43.8,29.21,,test for heath tray experiment
20180706,20180706,9:07,H2_B,Ambient,15.2,-44.1,29.25,,test for heath tray experiment
20180706,20180706,9:07,H2_T,Ambient,15.1,-43.9,29.24,,test for heath tray experiment
20180706,20180706,9:07,H3_B,Low,15.2,-19.2,29.23,,test for heath tray experiment
20180706,20180706,9:07,H3_T,Low,15.2,-18.5,29.24,,test for heath tray experiment
20180706,20180706,9:07,T0,Low,15,-12.7,29.15,,test for heath tray experiment
20180706,20180706,9:07,T1,Ambient,15,-43.9,29.2,,test for heath tray experiment
20180706,20180706,9:07,T3,Low,15.1,-17.6,29.22,,test for heath tray experiment
20180706,20180706,9:07,T6,Ambient,14.7,-43.9,29.18,,"pH low, settled larvae in ambient"
20180706,20180706,9:07,T7,Ambient,14.7,-43.8,29.18,,"control, settled larvae in ambient"
20180706,20180706,9:07,T9,Ambient,14.9,-43.9,29.21,,"control, settled larvae  in ambient"
20180708,20180708,12:55,H0_B,Low,16.5,-15.2,28.62,,test for heath tray experiment
20180708,20180708,12:55,H0_T,Low,16.5,-13.7,28.63,,test for heath tray experiment
20180708,20180708,12:55,H1_B,Ambient,16.5,-51.1,28.64,,test for heath tray experiment
20180708,20180708,12:55,H1_T,Ambient,16.5,-51.1,28.64,,test for heath tray experiment
20180708,20180708,12:55,H2_B,Ambient,16.5,-51.3,28.65,,test for heath tray experiment
20180708,20180708,12:55,H2_T,Ambient,16.5,-51.3,28.65,,test for heath tray experiment
20180708,20180708,12:55,H3_B,Low,16.5,-20.1,28.69,,test for heath tray experiment
20180708,20180708,12:55,H3_T,Low,16.5,-18.4,28.69,,test for heath tray experiment
20180708,20180708,12:55,T0,Low,16.4,-13.2,28.62,,test for heath tray experiment
20180708,20180708,12:55,T1,Ambient,16.4,-50.9,28.63,,test for heath tray experiment
20180708,20180708,12:55,T2,Ambient,16.4,-51.5,28.64,,test for heath tray experiment
20180708,20180708,12:55,T3,Low,16.5,-17,28.69,,test for heath tray experiment
20180708,20180708,12:55,T6,Ambient,17,-52.8,28.67,,"pH low, settled larvae in ambient"
20180708,20180708,12:55,T7,Ambient,17,-52.2,28.59,,"control, settled larvae in ambient"
20180708,20180708,12:55,T9,Ambient,17.1,-51.8,28.61,,"control, settled larvae  in ambient"
20180710,20180710,11:40,H0_B,Low,16.6,-161,28.54,,test for heath tray experiment
20180710,20180710,11:40,H0_T,Low,6.7,-13.7,28.34,,test for heath tray experiment
20180710,20180710,11:40,H1_B,Ambient,16.5,47.3,28.58,,test for heath tray experiment
20180710,20180710,11:40,H1_T,Ambient,16.5,-47.5,28.57,,test for heath tray experiment
20180710,20180710,11:40,H2_B,Ambient,16.5,-47.7,28.58,,test for heath tray experiment
20180710,20180710,11:40,H2_T,Ambient,16.5,-47.6,28.58,,test for heath tray experiment
20180710,20180710,11:40,H3_B,Low,16.5,-17.2,28.57,,test for heath tray experiment
20180710,20180710,11:40,H3_T,Low,16.5,-18.3,28.6,,test for heath tray experiment
20180710,20180710,11:40,T0,Low,16.5,-13.5,28.57,,test for heath tray experiment
20180710,20180710,11:40,T1,Ambient,16.5,-47.5,28.57,,test for heath tray experiment
20180710,20180710,11:40,T2,Ambient,16.5,47.7,28.59,,test for heath tray experiment
20180710,20180710,11:40,T3,Low,16.5,-16.1,28.59,,test for heath tray experiment
20180710,20180710,11:40,T6,Ambient,16.8,-47.7,28.58,,"pH low, settled larvae in ambient"
20180710,20180710,11:40,T7,Ambient,16.8,-47.6,28.57,,"control, settled larvae in ambient"
20180710,20180710,11:40,T9,Ambient,17.1,-47.2,28.69,,"control, settled larvae  in ambient"
20180711,20180711,10:00,H0_B,Low,15.2,-16.6,28.5,,test for heath tray experiment
20180711,20180711,10:00,H0_T,Low,15.7,-15.2,28.61,,test for heath tray experiment
20180711,20180711,10:00,H1_B,Ambient,15,-50,28.61,,test for heath tray experiment
20180711,20180711,10:00,H1_T,Ambient,15.2,-50,28.64,,test for heath tray experiment
20180711,20180711,10:00,H2_B,Ambient,15,-50.2,28.61,,test for heath tray experiment
20180711,20180711,10:00,H2_T,Ambient,15,-50.2,28.61,,test for heath tray experiment
20180711,20180711,10:00,H3_B,Low,15.1,-16.1,28.63,,test for heath tray experiment
20180711,20180711,10:00,H3_T,Low,15.3,-16.1,28.66,,test for heath tray experiment
20180711,20180711,10:00,T0,Low,15,-11.6,28.36,,test for heath tray experiment
20180711,20180711,10:00,T1,Ambient,14.9,-49.6,28.58,,test for heath tray experiment
20180711,20180711,10:00,T2,Ambient,14.9,-50.4,28.62,,test for heath tray experiment
20180711,20180711,10:00,T3,Low,15,-15.5,28.63,,test for heath tray experiment
20180711,20180711,10:00,T6,Ambient,14.9,-50.1,28.51,,"pH low, settled larvae in ambient"
20180711,20180711,10:00,T7,Ambient,15,-49.8,28.62,,"control, settled larvae in ambient"
20180711,20180711,10:00,T9,Ambient,15.1,-50,28.65,,"control, settled larvae  in ambient"
20180712,20180712,10:50,H0_B,Low,14.5,-15.5,28.79,,test for heath tray experiment
20180712,20180712,10:50,H0_T,Low,14.5,-15.7,28.8,,test for heath tray experiment
20180712,20180712,10:50,H1_B,Ambient,14.5,-49.1,28.8,,test for heath tray experiment
20180712,20180712,10:50,H1_T,Ambient,14.6,-48.1,28.69,,test for heath tray experiment
20180712,20180712,10:50,H2_B,Ambient,14.5,-49.9,28.74,,test for heath tray experiment
20180712,20180712,10:50,H2_T,Ambient,15,50,28.82,,test for heath tray experiment
20180712,20180712,10:50,H3_B,Low,14.5,-17.7,28.74,,test for heath tray experiment
20180712,20180712,10:50,H3_T,Low,14.5,-16.6,28.88,,test for heath tray experiment
20180712,20180712,10:50,T0,Low,14.4,-14.2,28.75,,test for heath tray experiment
20180712,20180712,10:50,T1,Ambient,14.5,-50,28.61,,test for heath tray experiment
20180712,20180712,10:50,T2,Ambient,14.5,-50.1,28.87,,test for heath tray experiment
20180712,20180712,10:50,T3,Low,14.5,-16.1,28.79,,test for heath tray experiment
20180712,20180712,10:50,T6,Ambient,14.7,-51.1,28.89,,"pH low, settled larvae in ambient"
20180712,20180712,10:50,T7,Ambient,14.9,-50.7,28.63,,"control, settled larvae in ambient"
20180712,20180712,10:50,T9,Ambient,15.5,-48.6,28.31,,"control, settled larvae  in ambient"
20180713,20180713,9:00,H0_B,Low,14.5,-15,28.93,pre-experiment,test for heath tray experiment
20180713,20180713,9:00,H0_T,Low,14.5,-17,28.01,pre-experiment,test for heath tray experiment
20180713,20180713,9:00,H1_B,Ambient,14.5,-49.4,28.88,pre-experiment,test for heath tray experiment
20180713,20180713,9:00,H1_T,Ambient,14.5,-49.3,29.05,pre-experiment,test for heath tray experiment
20180713,20180713,9:00,H2_B,Ambient,14.5,-49.1,28.94,pre-experiment,test for heath tray experiment
20180713,20180713,9:00,H2_T,Ambient,14.5,-49.4,28.94,pre-experiment,test for heath tray experiment
20180713,20180713,9:00,H3_B,Low,14.5,-16,28.77,pre-experiment,test for heath tray experiment
20180713,20180713,9:00,H3_T,Low,14.5,-15.4,28.91,pre-experiment,test for heath tray experiment
20180713,20180713,9:00,T0,Low,14.5,-15,28.95,pre-experiment,TEMP NOT MEASURED (INSERTED 14.5 FOR ALL) test for heath tray experiment
20180713,20180713,9:00,T1,Ambient,14.5,-49.4,28.98,pre-experiment,test for heath tray experiment
20180713,20180713,9:00,T2,Ambient,14.5,-49.3,28.91,pre-experiment,test for heath tray experiment
20180713,20180713,9:00,T3,Low,14.5,-15.1,28.86,pre-experiment,test for heath tray experiment
20180714,20180714,8:50,H0_B,Low,14.7,-13.9,29,Day_0,
20180714,20180714,8:50,H0_T,Low,14.8,-13.3,29.03,Day_0,
20180714,20180714,8:50,H1_B,Ambient,14.4,-46.4,29.05,Day_0,
20180714,20180714,8:50,H1_T,Ambient,14.5,-46,28.99,Day_0,
20180714,20180714,8:50,H2_B,Ambient,14.2,-46.8,28.02,Day_0,
20180714,20180714,8:50,H2_T,Ambient,14.2,-46.6,29.03,Day_0,
20180714,20180714,8:50,H3_B,Low,14.5,-16.4,29.02,Day_0,
20180714,20180714,8:50,H3_T,Low,14.5,-16.1,29.09,Day_0,
20180714,20180714,8:50,T0,Low,14.5,-13.2,28.83,Day_0,
20180714,20180714,8:50,T1,Ambient,14.3,-46.6,29.07,Day_0,
20180714,20180714,8:50,T2,Ambient,14,-46.9,29.08,Day_0,
20180714,20180714,8:50,T3,Low,14.4,-16.2,29.06,Day_0,
20180714,20180714,8:50,T6,Ambient,13.8,-46.4,29.05,,"pH low, settled larvae in ambient"
20180714,20180714,8:50,T7,Ambient,14.1,-46.3,29,,"control, settled larvae in ambient"
20180714,20180714,8:50,T9,Ambient,14.5,-46.2,29.04,,"control, settled larvae  in ambient"
20180715,20180715,10:00,H0_B,Low,14.3,-14.9,28.63,Day_1,
20180715,20180715,10:00,H0_T,Low,14.4,-13.2,28.82,Day_1,
20180715,20180715,10:00,H1_B,Ambient,14,-43,28.67,Day_1,
20180715,20180715,10:00,H1_T,Ambient,13.9,-41.2,28.93,Day_1,
20180715,20180715,10:00,H2_B,Ambient,13.8,-43.1,29.05,Day_1,
20180715,20180715,10:00,H2_T,Ambient,13.9,-42.6,29.09,Day_1,
20180715,20180715,10:00,H3_B,Low,14.1,-16.2,29.05,Day_1,
20180715,20180715,10:00,H3_T,Low,14,-15.4,29.09,Day_1,
20180715,20180715,10:00,T0,Low,13.7,-12.6,28.99,Day_1,
20180715,20180715,10:00,T1,Ambient,13.7,-43,28.91,Day_1,
20180715,20180715,10:00,T2,Ambient,13.7,-42.8,29.02,Day_1,
20180715,20180715,10:00,T3,Low,13.7,-15.2,29.11,Day_1,
20180715,20180715,10:00,T6,Ambient,13.8,-43.2,29.09,,"pH low, settled larvae in ambient"
20180715,20180715,10:00,T7,Ambient,14,-43.2,29.11,,"control, settled larvae in ambient"
20180715,20180715,10:00,T9,Ambient,14.7,-42.6,29.16,,"control, settled larvae  in ambient"
20180716,20180716,9:00,H0_B,Low,13.9,-14.2,28.9,Day_2,
20180716,20180716,9:00,H0_T,Low,14,-14,29.08,Day_2,
20180716,20180716,9:00,H1_B,Ambient,13.7,-41.3,29.15,Day_2,
20180716,20180716,9:00,H1_T,Ambient,14,-41.5,29.14,Day_2,
20180716,20180716,9:00,H2_B,Ambient,13.8,-41.9,29.07,Day_2,
20180716,20180716,9:00,H2_T,Ambient,14,-41.7,29.19,Day_2,
20180716,20180716,9:00,H3_B,Low,13.9,-15.8,28.98,Day_2,
20180716,20180716,9:00,H3_T,Low,14,-15.1,29.1,Day_2,
20180716,20180716,9:00,T0,Low,13.6,-13.6,29.13,Day_2,
20180716,20180716,9:00,T1,Ambient,13.6,-41.6,29.2,Day_2,
20180716,20180716,9:00,T2,Ambient,13.5,-41.6,29.22,Day_2,
20180716,20180716,9:00,T3,Low,13.7,-14.2,29.19,Day_2,
20180716,20180716,9:00,T6,Ambient,13.5,-41.7,29.11,,"pH low, settled larvae in ambient"
20180716,20180716,9:00,T7,Ambient,14,-41.8,29.18,,"control, settled larvae in ambient"
20180716,20180716,9:00,T9,Ambient,14.1,-41.1,29.18,,"control, settled larvae  in ambient"
20180717,20180717,10:00,H0_B,Low,14.203,-15.3,29,Day_3,
20180717,20180717,10:00,H0_T,Low,14.427,-15.1,28.77,Day_3,
20180717,20180717,10:00,H1_B,Ambient,14.382,-42.8,29.12,Day_3,
20180717,20180717,10:00,H1_T,Ambient,14.448,-41.8,29.08,Day_3,
20180717,20180717,10:00,H2_B,Ambient,14.074,-42.5,29.1,Day_3,
